pos,vertex,degree,p_size,cliques,seconds
2349,2695,2,2,1,3.4320000850129873e-06
2350,2698,2,2,1,3.2669995562173426e-06
2351,19087,2,2,1,3.2280004234053195e-06
2352,24035,3,1,0,2.097000106004998e-06
2353,29503,2,0,0,1.6849990061018616e-06
2354,2703,2,2,1,3.6729979910887778e-06
2355,31134,2,1,0,1.7409984138794243e-06
2356,10900,2,2,1,3.363998985150829e-06
2357,52485,2,1,0,1.7509992176201195e-06
2358,68256,2,2,1,3.197001205990091e-06
2359,68262,2,2,1,3.4339973353780806e-06
2360,57191,2,1,0,1.8190003174822778e-06
2361,27303,2,2,1,3.9339975046459585e-06
2362,68267,2,2,1,3.3229989639949054e-06
2363,57231,2,1,0,1.5940022422000766e-06
2364,51887,2,2,1,3.7280005926731974e-06
2365,14945,2,1,0,1.7290003597736359e-06
2366,60109,2,2,1,3.507997462293133e-06
2367,3236,2,1,0,1.7480015230830759e-06
2368,10980,2,2,1,3.946999640902504e-06
2369,76520,2,2,1,3.3869982871692628e-06
2370,2796,2,2,1,5.290999979479238e-06
2371,68334,2,2,1,3.311000909889117e-06
2372,60145,2,2,1,3.4090007829945534e-06
2373,60147,2,2,1,3.5129996831528842e-06
2374,68342,2,2,1,3.1189993023872375e-06
2375,68348,2,2,1,3.2319985621143132e-06
2376,2812,3,2,1,4.872999852523208e-06
2377,19206,2,2,1,3.430999640841037e-06
2378,19208,2,2,1,3.430999640841037e-06
2379,72626,2,1,0,1.8749997252598405e-06
2380,5106,4,1,1,3.6530000215861946e-06
2381,27403,2,2,2,3.5999983083456755e-06
2382,20621,2,1,1,2.572996891103685e-06
2383,16328,2,1,1,2.734999725362286e-06
2384,27431,2,2,1,3.592002030927688e-06
2385,84782,2,2,1,3.4990007407031953e-06
2386,27439,2,2,1,3.32999843521975e-06
2387,24359,3,1,0,2.1380001271609217e-06
2388,52018,2,2,1,3.6910023482050747e-06
2389,11062,2,2,1,3.0480005079880357e-06
2390,76608,2,2,1,3.1760027923155576e-06
2391,76611,2,2,1,3.6009987525176257e-06
2392,2887,2,2,1,3.1039999157655984e-06
2393,53611,2,1,0,1.6810008673928678e-06
2394,31643,2,0,0,1.6789999790489674e-06
2395,68427,2,2,1,3.7700010580010712e-06
2396,19276,2,2,1,3.3420001273043454e-06
2397,2893,4,2,0,7.599999662488699e-06
2398,19279,3,2,1,4.451998393051326e-06
2399,22135,2,1,0,1.7099991964641958e-06
2400,52055,2,2,1,3.821998689090833e-06
2401,20949,2,1,0,1.7380007193423808e-06
2402,52066,3,2,1,3.90299828723073e-06
2403,48936,2,1,0,1.8069986253976822e-06
2404,34799,6,1,1,4.560002707876265e-06
2405,68462,2,2,1,3.203000233042985e-06
2406,52081,2,2,1,3.792996722040698e-06
2407,2934,2,2,1,3.3180003811139613e-06
2408,19320,2,2,1,3.3530013752169907e-06
2409,60281,2,2,1,3.817000106209889e-06
2410,2942,2,2,1,3.388999175513163e-06
2411,2946,2,2,1,4.07049992645625e-05
2412,52103,5,2,1,9.036000847117975e-06
2413,2952,2,2,1,5.298999894876033e-06
2414,52105,2,2,1,4.298999556340277e-06
2415,76682,2,2,1,3.2899988582357764e-06
2416,76683,2,2,1,3.868000931106508e-06
2417,35722,3,2,1,4.346999048721045e-06
2418,60654,2,1,0,2.463002601871267e-06
2419,71666,2,0,0,1.9600011000875384e-06
2420,52109,2,2,1,3.3100004657171667e-06
2421,12019,2,1,0,1.8669998098630458e-06
2422,4006,2,0,0,1.7259990272577852e-06
2423,76686,2,2,2,4.468998668016866e-06
2424,84880,2,2,1,3.893001121468842e-06
2425,70523,2,1,0,1.8359969544690102e-06
2426,52117,2,2,1,3.97700205212459e-06
2427,48181,2,1,0,1.7650017980486155e-06
2428,2968,2,2,1,3.830002242466435e-06
2429,68834,2,1,0,1.7359998309984803e-06
2430,76696,2,2,1,3.5800003388430923e-06
2431,48235,2,1,0,1.7909987946040928e-06
2432,40356,2,0,0,1.672000507824123e-06
2433,2971,2,2,1,3.425997419981286e-06
2434,47033,2,1,0,1.8880018615163863e-06
2435,84910,2,2,1,3.8030011637602e-06
2436,68535,2,2,1,3.388999175513163e-06
2437,27576,3,2,1,4.39400173490867e-06
2438,52156,2,2,1,3.6709971027448773e-06
2439,27583,2,2,1,3.4530021366663277e-06
2440,11207,2,2,1,3.668999852379784e-06
2441,52170,2,2,1,4.1290004446636885e-06
2442,27603,2,2,1,3.187000402249396e-06
2443,19422,2,2,1,3.7800018617417663e-06
2444,52193,2,2,1,3.4820004657376558e-06
2445,52195,2,2,1,3.436001861700788e-06
2446,52197,2,2,1,3.4240001696161926e-06
2447,84966,2,2,1,4.0480008465237916e-06
2448,60394,2,2,1,3.340999683132395e-06
2449,60395,2,2,1,3.6059973353985697e-06
2450,60396,2,2,1,3.48799949279055e-06
2451,19436,2,2,1,4.1339990275446326e-06
2452,68600,2,2,1,3.293000190751627e-06
2453,68603,2,2,1,3.5229968489147723e-06
2454,44035,2,2,1,3.3670003176666796e-06
2455,19461,2,2,1,3.5470002330839634e-06
2456,46587,2,1,0,1.8600003386382014e-06
2457,27662,2,2,1,3.3919968700502068e-06
2458,44049,2,2,1,3.5340017348062247e-06
2459,85015,2,2,1,2.9859984351787716e-06
2460,19486,2,2,1,3.069002559641376e-06
2461,19487,2,2,1,2.6460002118255943e-06
2462,3107,2,2,1,3.850000211969018e-06
2463,3108,2,2,1,3.4389995562378317e-06
2464,52274,2,2,1,3.1390009098686278e-06
2465,11320,2,2,1,3.3090000215452164e-06
2466,56633,2,1,0,1.7659986042417586e-06
2467,40644,2,0,0,1.6020021575968713e-06
2468,3130,2,2,1,3.535998985171318e-06
2469,76865,2,2,1,3.3659998734947294e-06
2470,76867,2,2,1,3.187000402249396e-06
2471,85067,2,2,1,3.4369986678939313e-06
2472,52300,2,2,1,3.6080018617212772e-06
2473,53372,2,1,0,1.9219987734686583e-06
2474,19542,2,2,1,3.3799988159444183e-06
2475,35933,2,2,1,3.2610005291644484e-06
2476,77793,2,1,0,1.7290003597736359e-06
2477,19553,2,2,1,3.4340009733568877e-06
2478,52324,2,2,1,3.6279998312238604e-06
2479,47983,2,1,0,1.6279991541523486e-06
2480,76902,2,2,1,3.359000402269885e-06
2481,68713,2,2,1,3.550998371792957e-06
2482,56768,2,1,0,1.710002834443003e-06
2483,76908,2,0,0,1.7029997252393514e-06
2484,68714,2,2,1,3.440000000409782e-06
2485,37559,2,1,0,1.7410020518582314e-06
2486,76907,2,2,1,3.884000761900097e-06
2487,68719,2,2,1,3.6040000850334764e-06
2488,11378,2,2,1,3.621000359999016e-06
2489,68725,2,2,1,3.344001015648246e-06
2490,11383,2,2,1,3.0199989851098508e-06
2491,75111,3,1,0,2.0600018615368754e-06
2492,2083,3,0,0,1.9330000213813037e-06
2493,44159,2,2,1,3.559001925168559e-06
2494,87658,2,1,0,1.8550017557572573e-06
2495,44162,2,2,1,3.5570010368246585e-06
2496,35970,2,2,1,3.4579970815684646e-06
2497,3206,2,2,1,3.4660006349440664e-06
2498,40107,2,1,0,1.7019992810674012e-06
2499,85129,2,2,1,3.2520001695957035e-06
2500,76943,2,2,1,3.059998562093824e-06
2501,3220,2,2,1,3.5099983506370336e-06
2502,60569,2,2,1,3.3369979064445943e-06
2503,29710,2,1,0,1.9040016923099756e-06
2504,71280,2,0,0,1.7139973351731896e-06
2505,11418,2,2,1,3.3799988159444183e-06
2506,81660,3,1,0,2.3050015443004668e-06
2507,68784,2,2,1,3.6849996831733733e-06
2508,44209,2,2,1,3.549001121427864e-06
2509,68787,2,2,1,3.5389966797083616e-06
2510,72235,2,1,0,1.720000000204891e-06
2511,68788,2,2,1,3.749999450519681e-06
2512,68789,2,2,1,3.6330020520836115e-06
2513,85184,2,2,1,3.5320008464623243e-06
2514,68802,2,2,1,3.4090007829945534e-06
2515,44240,2,2,1,3.5609991755336523e-06
2516,85201,2,2,1,3.3180003811139613e-06
2517,60624,2,2,1,3.125998773612082e-06
2518,44244,2,2,1,3.297998773632571e-06
2519,85209,2,1,0,1.7979982658289373e-06
2520,85207,3,2,1,3.478600046946667e-05
2521,85208,2,2,1,6.686997949145734e-06
2522,77033,2,2,1,3.750999894691631e-06
2523,44266,2,2,1,3.2960015232674778e-06
2524,85230,3,2,2,4.697998519986868e-06
2525,85235,2,2,1,3.449000359978527e-06
2526,85237,2,2,1,8.404000254813582e-06
2527,68854,2,2,2,3.978999302489683e-06
2528,85240,2,2,1,3.558998287189752e-06
2529,44287,2,2,1,3.268996806582436e-06
2530,11521,2,2,1,3.3629985409788787e-06
2531,11522,2,2,1,3.364002623129636e-06
2532,68870,2,2,1,2.9420007194858044e-06
2533,52492,2,2,1,2.959000994451344e-06
2534,85262,2,2,2,3.3859978429973125e-06
2535,11538,2,2,1,3.992001438746229e-06
2536,27925,2,2,2,4.101999365957454e-06
2537,85273,2,2,1,3.9620026655029505e-06
2538,52506,2,2,1,3.224999090889469e-06
2539,44314,2,2,1,3.3180003811139613e-06
2540,6754,2,1,0,1.8790015019476414e-06
2541,11549,2,2,1,3.440000000409782e-06
2542,71570,2,1,0,1.75300010596402e-06
2543,11552,2,2,1,3.234999894630164e-06
2544,11555,4,2,1,4.39500217908062e-06
2545,6755,2,1,0,1.7090023902710527e-06
2546,49005,3,0,0,1.877000613603741e-06
2547,3364,2,2,2,3.4420008887536824e-06
2548,52547,2,2,1,3.944998752558604e-06
2549,21316,2,1,0,1.6990015865303576e-06
2550,68951,2,2,1,3.268000000389293e-06
2551,11607,2,2,1,3.859997377730906e-06
2552,11608,2,2,1,3.0659975891467184e-06
2553,52569,2,2,1,3.644003299996257e-06
2554,36711,2,1,0,1.6640005924273282e-06
2555,3426,2,2,1,3.4579970815684646e-06
2556,68963,2,2,2,3.668003046186641e-06
2557,19825,2,2,1,3.1799972930457443e-06
2558,19826,2,2,1,3.52500137523748e-06
2559,77174,2,2,1,3.0379997042473406e-06
2560,77188,2,2,1,3.4909971873275936e-06
2561,48177,2,1,0,1.7780002963263541e-06
2562,36230,2,2,2,5.588000931311399e-06
